City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
301,Tondano,ID,82.49,scattered clouds,1.3038,124.9112,Villa Bella
305,Kendari,ID,79.27,broken clouds,-3.945,122.4989,Hotel Wixel
306,Isangel,VU,79.36,clear sky,-19.55,169.2667,Tanna Lodge
318,Urumqi,CN,85.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
319,Mae Sot,TH,88.43,overcast clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
325,Abu Samrah,SY,79.88,clear sky,35.3029,37.1841,
327,La Romana,DO,76.03,clear sky,18.4273,-68.9728,Casa de Campo Resort and Villas
329,Tanete,ID,85.33,broken clouds,-3.9443,119.7848,Wisma Tri Multi
332,Gunjur,GM,78.42,moderate rain,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
334,Dingle,PH,86.43,light rain,10.9995,122.6711,SEGAYA PROPERTY
335,Balkhash,KZ,79.39,broken clouds,46.844,74.9804,Family
336,Lorengau,PG,85.12,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
341,Statesboro,US,78.6,clear sky,32.4488,-81.7832,"Holiday Inn Statesboro-University Area, an IHG Hotel"
342,Samarai,PG,80.38,scattered clouds,-10.6167,150.6667,Nuli Sapi
345,Puerto Colombia,CO,79.61,clear sky,10.9878,-74.9547,Hotel El Emigrante
347,Grafton,US,76.44,broken clouds,42.207,-71.6856,The Grafton Inn
354,Kassala,SD,79.27,overcast clouds,15.451,36.4,Amassi Hotel Gash
356,Auki,SB,84.38,few clouds,-8.7676,160.7034,Auki Motel
358,Darnah,LY,78.78,clear sky,32.767,22.6367,فندق الفردوس
360,Lamu,KE,77.22,broken clouds,-2.2717,40.902,Lamu House
361,Nantucket,US,78.01,fog,41.2835,-70.0995,Jared Coffin House
367,Vilyuysk,RU,79.47,few clouds,63.7553,121.6247,Gostinitsa Viliuisk
369,Diffa,NE,79.12,few clouds,13.3154,12.6113,ProDAF/Diffa
376,Bodden Town,KY,82.92,overcast clouds,19.2833,-81.25,Will T Place
385,Amalner,IN,77.83,light rain,21.05,75.0667,MOHAMMADY HOUSE
388,Pingliang,CN,84.69,clear sky,35.5392,106.6861,North Gate Hostel
392,Zhangjiakou,CN,89.47,few clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
394,Ust-Karsk,RU,81.54,overcast clouds,52.7011,118.8077,
396,Cabo San Lucas,MX,80.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
399,Ixtapa,MX,80.22,broken clouds,20.7,-105.2,hotel la terminal
400,Cayenne,GF,77.92,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
401,Domokos,GR,81.99,clear sky,39.1272,22.3003,ΜΗΤΡΟΠΟΛΗ ΦΘΙΩΤΙΔΑΣ
403,Chara,RU,81.45,scattered clouds,56.9064,118.2631,
404,Shahr-E Babak,IR,85.73,clear sky,30.1165,55.1186,سلاطین مس و نقره
405,Monrovia,LR,75.34,overcast clouds,6.3005,-10.7969,Sunset Inn
406,Virginia Beach,US,84.02,few clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
409,Marsa Matruh,EG,77.79,clear sky,31.3525,27.2453,Beau Site
411,Praya,CV,78.42,overcast clouds,14.9215,-23.5087,LT Aparthotel
414,Noumea,NC,75.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
415,Manggar,ID,85.69,scattered clouds,-2.8833,108.2667,Guest Hotel
423,Zitiste,RS,77.59,scattered clouds,45.485,20.5497,Restoran sa prenoćištem Žitište
424,Americus,US,78.93,clear sky,32.0724,-84.2327,Best Western Plus Windsor Hotel
425,Dahod,IN,75.78,overcast clouds,22.8333,74.2667,Hotel Laxmi Inn
427,Rio Grande City,US,83.1,broken clouds,26.3798,-98.8203,La Borde House
