City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
141,Marostica,IT,78.69,clear sky,45.7468,11.6579,Albergo Due Mori
146,Meulaboh,ID,81.5,light rain,4.1363,96.1285,Kost Pria
149,Seoul,KR,88.99,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
154,Amahai,ID,79.5,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
156,Gondanglegi,ID,80.44,broken clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
157,Marsaxlokk,MT,81.09,clear sky,35.8419,14.5431,Water's Edge
161,La Ciotat,FR,76.8,clear sky,43.1748,5.6045,ibis La Ciotat
166,Torrington,US,81.61,overcast clouds,41.8007,-73.1212,The Yankee Pedlar Inn
167,Gat,IL,76.41,clear sky,31.61,34.7642,OlusHome
168,Singapore,SG,86.04,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
184,Katsuura,JP,82.92,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
186,Butaritari,KI,82.56,few clouds,3.0707,172.7902,Isles Sunset Lodge
189,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
191,Mago,RU,82.87,broken clouds,53.2514,140.1822,
193,Saint Andrews,US,77.45,clear sky,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
194,Bengkulu,ID,79.48,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
195,Jalu,LY,77.68,clear sky,29.0331,21.5482,صاحبة الفخامة
198,Asfi,MA,77.07,broken clouds,32.2994,-9.2372,Hôtel Abda
199,Cayenne,GF,83.08,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
201,Urumqi,CN,79.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
204,Poum,NC,75.15,clear sky,-20.2333,164.0167,
206,Excelsior Springs,US,78.67,clear sky,39.3392,-94.2261,The Elms Hotel & Spa
208,Nalut,LY,76.84,clear sky,30.3333,10.85,
212,Broome,US,75.58,broken clouds,42.2506,-75.833,Chenango Valley State Park
213,Asyut,EG,79.54,few clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
217,Batasan,PH,85.14,overcast clouds,12.7667,120.7833,Solwara Beach Resort
222,Ixtapa,MX,79.23,broken clouds,20.7,-105.2,hotel la terminal
225,Tel Aviv-Yafo,IL,78.21,broken clouds,32.0805,34.7805,Ben Yehuda apartments
226,Bilma,NE,89.4,few clouds,18.6853,12.9164,Expeditions Ténére voyages
230,Matara,LK,81.81,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
232,Vanimo,PG,84.33,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
233,Panaba,MX,78.53,overcast clouds,21.2833,-88.2667,Hotel Don Fernando
236,Sao Filipe,CV,77.68,overcast clouds,14.8961,-24.4956,Hotel Xaguate
237,Ca Mau,VN,86.9,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
240,Saint-Louis,SN,82.69,overcast clouds,16.3333,-15.0,
249,Puerto Carreno,CO,75.27,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
251,Kununurra,AU,84.18,clear sky,-15.7667,128.7333,Hotel Kununurra
252,Kattivakkam,IN,86.09,broken clouds,13.2167,80.3167,Euronova Freezer
253,Verkhnevilyuysk,RU,80.42,scattered clouds,63.4453,120.3167,Gostinitsa Mila
257,Praia,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
