City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
125,Beyneu,KZ,45.3167,55.2,77.54,48,69,5.01,broken clouds
126,Puerto Leguizamo,CO,-0.1934,-74.7819,70.32,95,67,2.57,broken clouds
127,Provideniya,RU,64.3833,-173.3,50.36,66,75,15.99,broken clouds
128,Maniitsoq,GL,65.4167,-52.9,44.22,83,1,11.16,clear sky
129,Naze,JP,28.3667,129.4833,82.11,78,24,0.11,few clouds
130,Denpasar,ID,-8.65,115.2167,83.86,58,40,13.8,scattered clouds
131,Sorkjosen,NO,69.8,20.9333,46.4,100,100,2.3,overcast clouds
132,Wajid,SO,3.8093,43.2471,68.31,86,11,16.53,few clouds
133,Mar Del Plata,AR,-38.0023,-57.5575,51.1,96,100,11.5,overcast clouds
134,Saint-Philippe,RE,-21.3585,55.7679,63.21,75,24,6.49,few clouds
135,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,67.8,64,84,5.91,broken clouds
136,Carnarvon,AU,-24.8667,113.6333,63.57,38,0,15.35,clear sky
137,Cochrane,CA,51.1834,-114.4687,69.91,83,100,8.14,overcast clouds
138,Adamovka,RU,51.5223,59.9396,74.8,39,84,3.02,broken clouds
139,Bom Jesus,BR,-9.0744,-44.3586,70.93,57,84,3.36,broken clouds
140,Chengde,CN,40.9725,117.9361,90.52,38,66,3.53,broken clouds
141,Marostica,IT,45.7468,11.6579,78.69,63,0,4.36,clear sky
142,Chumikan,RU,54.7183,135.315,56.97,97,100,9.64,light rain
143,Clyde River,CA,70.4692,-68.5914,43.03,100,100,4.61,overcast clouds
144,Severo-Kurilsk,RU,50.6789,156.125,51.6,97,100,17.05,light rain
145,Chuy,UY,-33.6971,-53.4616,57.58,97,100,5.1,overcast clouds
146,Meulaboh,ID,4.1363,96.1285,81.5,76,85,3.71,light rain
147,Olafsvik,IS,64.8945,-23.7142,50.92,83,86,7.61,overcast clouds
148,Grootfontein,NA,-19.5667,18.1167,56.32,40,5,3.56,clear sky
149,Seoul,KR,37.5683,126.9778,88.99,52,2,3.62,clear sky
150,Lavrentiya,RU,65.5833,-171.0,42.62,88,100,9.35,overcast clouds
151,Bambous Virieux,MU,-20.3428,57.7575,61.05,94,75,4.61,broken clouds
152,Liverpool,GB,53.4106,-2.9779,62.15,86,40,12.66,scattered clouds
153,Luanda,AO,-8.8368,13.2343,69.58,88,100,2.42,overcast clouds
154,Amahai,ID,-3.3333,128.9167,79.5,83,100,4.29,overcast clouds
155,Vodnyy,RU,63.5046,53.4095,54.63,66,100,2.17,overcast clouds
156,Gondanglegi,ID,-7.7479,112.0132,80.44,56,57,12.97,broken clouds
157,Marsaxlokk,MT,35.8419,14.5431,81.09,83,0,3.44,clear sky
158,Ribeira Grande,PT,38.5167,-28.7,74.1,90,11,4.9,few clouds
159,Samfya,ZM,-11.3649,29.5565,57.07,68,6,5.82,clear sky
160,Santa Maria,BR,-29.6842,-53.8069,67.33,91,100,4.36,overcast clouds
161,La Ciotat,FR,43.1748,5.6045,76.8,61,0,1.72,clear sky
162,Paamiut,GL,61.994,-49.6678,43.5,82,11,3.15,few clouds
163,East London,ZA,-33.0153,27.9116,58.5,58,100,5.1,overcast clouds
164,Bouna,CI,9.2667,-3.0,69.55,89,89,3.13,overcast clouds
165,West Odessa,US,31.8424,-102.4988,91.42,31,0,17.27,clear sky
166,Torrington,US,41.8007,-73.1212,81.61,89,96,8.86,overcast clouds
167,Gat,IL,31.61,34.7642,76.41,100,0,4.29,clear sky
168,Singapore,SG,1.2897,103.8501,86.04,76,75,9.22,broken clouds
169,Kruisfontein,ZA,-34.0033,24.7314,49.89,80,79,2.8,broken clouds
170,Sangar,RU,63.9242,127.4739,74.25,52,36,4.16,scattered clouds
171,Barra Da Estiva,BR,-13.6261,-41.3269,56.77,92,83,2.39,broken clouds
172,Andra,RU,62.5147,65.8878,58.98,56,69,6.96,broken clouds
173,Paragominas,BR,-2.9667,-47.4833,73.99,80,89,3.31,overcast clouds
174,Palana,RU,59.1167,159.9667,54.79,70,51,8.43,broken clouds
175,Stornoway,GB,58.2093,-6.3865,55.36,95,100,19.57,light rain
176,Fort Nelson,CA,58.8053,-122.7002,66.16,50,100,1.68,overcast clouds
177,Saint George,US,37.1041,-113.5841,93.79,24,0,3.44,clear sky
178,Nikolskoye,RU,59.7035,30.7861,63.81,95,32,3.02,scattered clouds
179,Abu Dhabi,AE,24.4667,54.3667,93.22,78,0,3.44,clear sky
